                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.42134,                0.44815,                0.43434,                0.91074,                0.86462,                0.93059,                 0.9091,                0.81835,                0.87844,                   0.93,                0.91459,                0.75442,                0.45295,                 0.3435,                0.50995,                0.84513,               0.001981,               0.001981,               0.001981
                     84,                0.41311,                0.44281,                0.43555,                0.90982,                0.85507,                0.93286,                0.91233,                0.81631,                0.85976,                0.93857,                0.91516,                0.75866,                0.46223,                0.34673,                0.50221,                0.86125,               0.001882,               0.001882,               0.001882
                     85,                0.41161,                0.46432,                 0.4386,                0.91579,                0.87304,                0.90857,                0.90827,                0.82211,                 0.8772,                0.91286,                 0.9127,                0.75495,                0.44804,                0.35045,                0.51829,                0.83793,               0.001783,               0.001783,               0.001783
                     86,                0.41164,                0.44275,                0.42656,                0.91205,                 0.8749,                 0.9192,                0.90699,                0.81424,                0.88306,                0.92777,                0.91373,                0.75219,                 0.4496,                0.35252,                0.50173,                0.84851,               0.001684,               0.001684,               0.001684
                     87,                0.41398,                0.45214,                0.43267,                0.91147,                0.86687,                0.91714,                0.91007,                0.81918,                0.87883,                0.93143,                0.91579,                 0.7591,                0.44978,                0.35249,                 0.5061,                0.84825,               0.001585,               0.001585,               0.001585
                     88,                0.40866,                0.46339,                0.42488,                0.90652,                 0.8728,                0.92139,                0.91169,                 0.8209,                0.88376,                0.93405,                0.91476,                0.75573,                0.44206,                0.35912,                0.48922,                0.84823,               0.001486,               0.001486,               0.001486
                     89,                0.40957,                0.44522,                0.42164,                0.91055,                0.87081,                0.91714,                0.90829,                0.81951,                0.87905,                0.92571,                0.91457,                0.75516,                0.45198,                0.35448,                0.50024,                0.84819,               0.001387,               0.001387,               0.001387
                     90,                0.40613,                0.46581,                0.42439,                0.90771,                0.87308,                0.91714,                0.91687,                0.82382,                0.89439,                   0.91,                0.92119,                0.75756,                 0.4536,                0.34624,                0.49753,                0.85477,               0.001288,               0.001288,               0.001288
                     91,                0.36081,                 0.3192,                0.36113,                0.91988,                0.88155,                0.90429,                0.90872,                0.81746,                0.88845,                0.91026,                0.91452,                 0.7568,                0.45068,                0.35173,                0.49205,                0.85341,               0.001189,               0.001189,               0.001189
                     92,                0.35283,                0.30656,                0.34876,                0.90889,                0.89132,                0.91388,                0.90816,                0.81266,                0.89689,                0.91959,                0.91421,                0.75312,                0.44706,                0.35257,                0.48418,                0.84809,                0.00109,                0.00109,                0.00109
                     93,                0.34963,                0.30313,                0.35202,                0.91098,                0.88323,                0.91286,                0.90474,                0.81177,                0.88216,                0.91975,                0.91109,                0.75314,                0.45324,                  0.348,                0.49963,                0.85905,               0.000991,               0.000991,               0.000991
                     94,                0.34353,                0.30345,                0.33566,                0.89877,                0.87672,                0.90429,                0.90488,                0.81308,                0.88365,                0.91143,                0.91132,                0.75133,                0.43962,                0.34999,                0.49227,                 0.8466,               0.000892,               0.000892,               0.000892
                     95,                0.33691,                0.29733,                0.32842,                0.89631,                0.86933,                0.92193,                0.90905,                0.81658,                0.88481,                0.92179,                0.91637,                0.75497,                0.44052,                0.35626,                0.48588,                0.85229,               0.000793,               0.000793,               0.000793
                     96,                0.33761,                0.29901,                0.32452,                0.90308,                0.88779,                0.90143,                0.91307,                0.81779,                0.88637,                0.91373,                0.91757,                 0.7622,                0.43945,                0.35163,                0.47878,                0.84891,               0.000694,               0.000694,               0.000694
                     97,                0.34014,                0.30085,                0.32328,                0.89926,                0.90601,                   0.88,                0.90956,                 0.8168,                0.87195,                0.92571,                0.91542,                0.75832,                0.44224,                0.35326,                0.47665,                0.85689,               0.000595,               0.000595,               0.000595
                     98,                0.33455,                0.30136,                0.32367,                0.90151,                0.88128,                0.89714,                0.90866,                0.81897,                0.88847,                0.90429,                0.91553,                0.75495,                0.44363,                0.34771,                 0.4888,                   0.86,               0.000496,               0.000496,               0.000496
                     99,                0.33134,                0.29756,                 0.3039,                0.89903,                0.89507,                0.89714,                0.90672,                0.81437,                0.90032,                0.90286,                0.91385,                0.75377,                0.43469,                 0.3546,                 0.4908,                0.85052,               0.000397,               0.000397,               0.000397
                    100,                0.32771,                0.29989,                0.31036,                0.89646,                0.89603,                   0.89,                0.90814,                0.81701,                0.90493,                0.89857,                0.91631,                 0.7558,                0.44109,                0.35584,                0.49616,                0.85715,               0.000298,               0.000298,               0.000298
